LoadID,LoadNumber,Status,ShipperID,CarrierID,OriginCity,OriginState,OriginZip,DestCity,DestState,DestZip,PickupDate,DeliveryDate,EquipmentType,Commodity,WeightLbs,Miles,CustomerRate,CarrierRate,FuelSurcharge,PONumber,BOLNumber,PRONumber,PODReceived,ExceptionNotes,DriverName,DriverPhone,CreatedAt
1,MF-10001,Delivered,1,128,Atlanta,GA,30318,Miami,FL,33142,2026-06-16,2026-06-19,Van,Beverages,36866,877,1450,1247,184.06,PO-5100001,BOL153872,,Y,,,,2026-05-02 00:00:00
2,MF-10002,Covered,2,78,Los Angeles,CA,90021,Phoenix,AZ,85043,2026-08-25,2026-08-29,Van,Electronics,27912,354,3978,3485,378.60,PO-5500002,BOL224205,PRO7982241,N,,,,2026-05-03 00:00:00
3,MF-10003,In Transit,3,53,Memphis,TN,38118,Houston,TX,77029,2026-08-14,2026-08-19,Reefer,Freshline dairy,21617,1461,3897,3563,350.43,PO-5300003,BOL377501,PRO3634980,N,,Jamal Chen,555-512-1986,2026-05-04 00:00:00
4,MF-10004,Delivered,4,58,Memphis,TN,38118,Houston,TX,77029,2026-08-05,2026-08-06,Reefer,Freshline dairy,37755,325,2348,1926,254.22,PO-8300004,BOL344762,PRO4318855,Y,,,,2026-05-05 00:00:00
5,MF-10005,Delivered,5,35,Indianapolis,IN,46225,Columbus,OH,43215,2026-06-04,2026-06-06,Van,Frozen food,26914,1079,4646,3823,719.65,PO-4700005,BOL591465,PRO7752972,N,,,,2026-05-06 00:00:00
6,MF-10006,Available,6,,Detroit,MI,48209,Cleveland,OH,44113,2026-08-19,2026-08-20,Flatbed,Dry grocery,24408,232,3169,,486.29,PO-4500006,BOL340044,PRO1348050,N,,,,2026-05-07 00:00:00
7,MF-10007,Cancelled,7,141,Detroit,MI,48209,Cleveland,OH,44113,2026-06-13,2026-06-14,Van,Beverages,19894,1378,3525,3071,604.92,PO-6700007,BOL765620,PRO2530793,N,,,,2026-05-08 00:00:00
8,MF-10008,Delivered,8,120,Chicago,IL,60608,Newark,NJ,07105,2026-07-14,2026-07-17,Van,Auto parts,34244,1846,4241,3602,620.28,PO-8800008,BOL676818,,Y,,,,2026-05-09 00:00:00
9,MF-10009,Delivered,9,142,Chicago,IL,60608,Newark,NJ,07105,2026-07-15,2026-07-16,Reefer,Frozen food,41976,920,3622,3059,309.39,PO-7900009,BOL893188,PRO8416216,Y,,,,2026-05-10 00:00:00
10,MF-10010,Dispatched,10,17,Chicago,IL,60608,Newark,NJ,07105,2026-08-22,2026-08-27,Reefer,Beverages,34738,370,4307,3454,581.81,PO-5400010,BOL982277,PRO8741810,N,,Nia Garcia,555-229-4920,2026-05-11 00:00:00
11,MF-10011,Available,11,,Houston,TX,77029,Los Angeles,CA,90021,2026-08-19,2026-08-22,Flatbed,Steel coils,38947,679,3101,,506.93,PO-6900011,BOL678043,,N,,,,2026-05-12 00:00:00
12,MF-10012,Delivered,12,142,Phoenix,AZ,85043,Denver,CO,80216,2026-08-17,2026-08-20,Reefer,Beverages,40089,1952,1410,1155,154.90,PO-4900012,BOL568238,PRO6790218,Y,,,,2026-05-13 00:00:00
13,MF-10013,Delivered,13,25,St. Louis,MO,63102,Kansas City,MO,64120,2026-06-28,2026-07-01,Flatbed,Paper rolls,28852,1705,2356,2120,285.26,PO-7000013,BOL839485,PRO7395997,Y,,,,2026-05-14 00:00:00
14,MF-10014,Delivered,14,17,Minneapolis,MN,55401,Chicago,IL,60608,2026-06-23,2026-06-24,Flatbed,Electronics,42468,2044,1811,1634,224.62,PO-6900014,BOL116093,PRO7878299,Y,,,,2026-05-15 00:00:00
15,MF-10015,Covered,15,144,St. Louis,MO,63102,Kansas City,MO,64120,2026-08-25,2026-08-29,Reefer,Beverages,29532,1925,4237,3540,372.99,PO-8300015,BOL659543,PRO6312692,N,,,,2026-05-16 00:00:00
16,MF-10016,In Transit,16,112,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-18,2026-08-19,Van,Paper rolls,14586,1088,1803,1598,271.15,PO-5000016,BOL827712,,N,,Mei Walsh,555-292-8110,2026-05-17 00:00:00
17,MF-10017,Delivered,17,50,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-18,2026-08-21,Reefer,Frozen food,19140,538,3087,2652,491.61,PO-4500017,BOL739098,PRO5040453,Y,,,,2026-05-18 00:00:00
18,MF-10018,In Transit,18,114,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-23,2026-08-27,Reefer,Freshline dairy,27605,1488,1702,1432,194.98,PO-6700018,BOL823846,,N,,James Wright,555-494-3588,2026-05-19 00:00:00
19,MF-10019,Covered,19,14,Chicago,IL,60608,Dallas,TX,75212,2026-08-20,2026-08-24,Van,Plastic resin,27348,224,3742,3106,410.08,PO-8200019,BOL515032,,N,,,,2026-05-20 00:00:00
20,MF-10020,In Transit,20,37,Chicago,IL,60608,Dallas,TX,75212,2026-08-17,2026-08-21,Van,Electronics,16963,1466,3943,3213,613.36,PO-4600020,BOL757937,PRO6183033,N,,Hannah Walsh,555-851-4115,2026-05-21 00:00:00
21,MF-10021,Dispatched,21,136,Atlanta,GA,30318,Miami,FL,33142,2026-08-17,2026-08-20,Van,Frozen food,31976,1267,2222,1774,297.62,PO-7200021,BOL385765,PRO5311242,N,,Mei Johnson,555-625-3877,2026-05-22 00:00:00
22,MF-10022,Available,22,,Kansas City,MO,64120,Denver,CO,80216,2026-08-14,2026-08-17,Flatbed,Retail freight,12934,468,4694,,429.58,PO-8800022,BOL336574,PRO7667458,N,,,,2026-05-23 00:00:00
23,MF-10023,Cancelled,23,2,Kansas City,MO,64120,Denver,CO,80216,2026-08-14,2026-08-18,Reefer,Frozen food,25181,1377,3262,2712,505.29,PO-6400023,BOL962367,PRO7232293,N,,,,2026-05-24 00:00:00
24,MF-10024,Delivered,24,112,Kansas City,MO,64120,Denver,CO,80216,2026-06-26,2026-06-27,Flatbed,Retail freight,38426,2042,2306,2007,331.00,PO-8400024,BOL416869,PRO2957497,Y,,,,2026-05-25 00:00:00
25,MF-10025,Delivered,25,15,Kansas City,MO,64120,Denver,CO,80216,2026-07-18,2026-07-22,Van,Paper rolls,43402,1038,1955,1631,228.93,PO-7700025,BOL878325,PRO7960607,Y,,,,2026-05-26 00:00:00
26,MF-10026,In Transit,26,36,Detroit,MI,48209,Cleveland,OH,44113,2026-08-17,2026-08-21,Van,Retail freight,43682,2026,2885,2290,428.62,PO-8100026,BOL476096,,N,,Ryan Wright,555-655-4868,2026-05-27 00:00:00
27,MF-10027,Delivered,27,119,Seattle,WA,98134,Portland,OR,97210,2026-06-28,2026-06-29,Van,Electronics,16252,1791,1607,1430,167.70,PO-7600027,BOL315173,,Y,,,,2026-05-28 00:00:00
28,MF-10028,Dispatched,28,30,Detroit,MI,48209,Cleveland,OH,44113,2026-08-17,2026-08-19,Reefer,Beverages,9689,449,3612,2944,351.99,PO-4000028,BOL475644,PRO4991829,N,,James Hernandez,555-348-3129,2026-05-29 00:00:00
29,MF-10029,In Transit,29,7,Detroit,MI,48209,Cleveland,OH,44113,2026-08-24,2026-08-27,Van,Plastic resin,15146,1105,3236,2876,424.96,PO-7200029,BOL332311,PRO1727544,N,,Brett Garcia,555-265-8802,2026-05-30 00:00:00
30,MF-10030,Dispatched,30,8,Houston,TX,77029,Los Angeles,CA,90021,2026-08-19,2026-08-20,Reefer,Freshline dairy,16270,743,1730,1427,164.06,PO-7900030,BOL763829,PRO6455706,N,,Priya Diaz,555-654-2204,2026-05-31 00:00:00
31,MF-10031,Delivered,31,107,Phoenix,AZ,85043,Denver,CO,80216,2026-06-28,2026-07-03,Reefer,Frozen food,22091,1060,1868,1680,271.03,PO-6800031,BOL339592,PRO8608449,Y,,,,2026-06-01 00:00:00
32,MF-10032,Delivered,32,44,Houston,TX,77029,Los Angeles,CA,90021,2026-07-16,2026-07-20,Flatbed,Steel coils,13978,1883,2025,1774,258.04,PO-4500032,BOL197758,PRO7251976,Y,,,,2026-06-02 00:00:00
33,MF-10033,Covered,33,94,Phoenix,AZ,85043,Denver,CO,80216,2026-08-17,2026-08-22,Reefer,Frozen food,35717,1957,3082,2556,451.62,PO-8600033,BOL153945,PRO6242022,N,,,,2026-06-03 00:00:00
34,MF-10034,Delivered,34,29,Minneapolis,MN,55401,Chicago,IL,60608,2026-08-06,2026-08-10,Van,Retail freight,22821,1833,2905,2312,313.32,PO-6700034,BOL986209,PRO1440466,Y,,,,2026-06-04 00:00:00
35,MF-10035,In Transit,35,35,Baltimore,MD,21224,Philadelphia,PA,19148,2026-08-26,2026-08-28,Flatbed,Steel coils,17297,1697,1986,1706,238.48,PO-8000035,BOL132146,,N,,Omar Ali,555-206-3972,2026-06-05 00:00:00
36,MF-10036,In Transit,36,47,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-20,2026-08-24,Van,Retail freight,11261,1560,1615,1294,251.04,PO-4500036,BOL385320,PRO8113787,N,,Mei Johnson,555-781-2391,2026-06-06 00:00:00
37,MF-10037,In Transit,37,28,Chicago,IL,60608,Dallas,TX,75212,2026-08-20,2026-08-23,Flatbed,Frozen food,28212,273,4177,3654,537.43,PO-5400037,BOL514463,PRO1919088,N,,Hannah Chen,555-313-5640,2026-06-07 00:00:00
38,MF-10038,Delivered,38,141,Chicago,IL,60608,Dallas,TX,75212,2026-07-29,2026-07-31,Reefer,Freshline dairy,32917,1270,3437,3040,335.35,PO-8500038,BOL341288,PRO6941939,Y,,,,2026-06-08 00:00:00
39,MF-10039,Delivered,39,72,El Paso,TX,79901,Albuquerque,NM,87102,2026-07-01,2026-07-02,Van,Retail freight,26973,415,3748,3135,539.77,PO-6500039,BOL121869,PRO3883553,Y,,,,2026-06-09 00:00:00
40,MF-10040,Covered,40,12,Newark,NJ,07105,Charlotte,NC,28208,2026-08-15,2026-08-18,Reefer,Frozen food,13154,990,2396,2015,287.63,PO-5900040,BOL882033,,N,,,,2026-06-10 00:00:00
41,MF-10041,Delivered,41,114,Los Angeles,CA,90021,Phoenix,AZ,85043,2026-08-16,2026-08-21,Van,Lumber,17679,663,4579,3795,699.39,PO-4600041,BOL253557,,Y,,,,2026-06-11 00:00:00
42,MF-10042,Delivered,42,23,Newark,NJ,07105,Charlotte,NC,28208,2026-06-03,2026-06-04,Flatbed,Beverages,29181,1949,3709,3287,463.22,PO-8000042,BOL431495,,Y,,,,2026-06-12 00:00:00
43,MF-10043,Delivered,43,145,Indianapolis,IN,46225,Columbus,OH,43215,2026-06-06,2026-06-09,Reefer,Frozen food,11728,935,1703,1402,213.20,PO-5800043,BOL180458,PRO2514923,Y,,,,2026-06-13 00:00:00
44,MF-10044,In Transit,44,93,Seattle,WA,98134,Portland,OR,97210,2026-08-19,2026-08-24,Flatbed,Dry grocery,12054,1102,2716,2348,353.45,PO-4600044,BOL950360,PRO6761929,N,,Tyler Shah,555-867-4084,2026-06-14 00:00:00
45,MF-10045,Cancelled,45,6,Kansas City,MO,64120,Denver,CO,80216,2026-06-22,2026-06-24,Van,Beverages,31848,943,3199,2729,451.00,PO-5800045,BOL506235,PRO6676858,N,,,,2026-06-15 00:00:00
46,MF-10046,In Transit,46,9,Indianapolis,IN,46225,Columbus,OH,43215,2026-08-14,2026-08-17,Reefer,Frozen food,17854,862,4364,3924,769.99,PO-4500046,BOL711046,PRO6869018,N,,Elena Murphy,555-490-5128,2026-06-16 00:00:00
47,MF-10047,Delivered,47,129,Dallas,TX,75212,Atlanta,GA,30318,2026-08-09,2026-08-14,Van,Steel coils,42497,371,4035,3594,650.92,PO-8100047,BOL803024,PRO7070468,Y,,,,2026-06-17 00:00:00
48,MF-10048,Delivered,48,47,Dallas,TX,75212,Atlanta,GA,30318,2026-08-02,2026-08-04,Reefer,Frozen food,14628,1219,2034,1608,334.48,PO-8900048,BOL665990,PRO9833734,Y,,,,2026-06-18 00:00:00
49,MF-10049,Delivered,49,103,Chicago,IL,60608,Newark,NJ,07105,2026-06-07,2026-06-09,Reefer,Frozen food,18848,1656,4237,3762,681.75,PO-6800049,BOL145814,PRO4985095,Y,,,,2026-06-19 00:00:00
50,MF-10050,Cancelled,50,91,Houston,TX,77029,Los Angeles,CA,90021,2026-06-29,2026-07-01,Van,Steel coils,20715,933,4712,4192,802.91,PO-8300050,BOL698128,PRO8745704,N,,,,2026-06-20 00:00:00
51,MF-10051,Dispatched,51,59,Charlotte,NC,28208,Jacksonville,FL,32218,2026-08-18,2026-08-23,Van,Paper rolls,14723,1636,4026,3411,471.53,PO-7300051,BOL992512,,N,,Kate Brooks,555-456-1854,2026-06-21 00:00:00
52,MF-10052,Delivered,52,86,Phoenix,AZ,85043,Denver,CO,80216,2026-07-22,2026-07-26,Van,Plastic resin,9747,1029,2309,2065,388.98,PO-4300052,BOL515712,PRO4955699,Y,,,,2026-06-22 00:00:00
53,MF-10053,Delivered,53,4,Phoenix,AZ,85043,Denver,CO,80216,2026-07-09,2026-07-11,Reefer,Frozen food,10510,767,4062,3359,384.29,PO-7000053,BOL829884,PRO8870361,Y,,,,2026-06-23 00:00:00
54,MF-10054,Delivered,54,33,Charlotte,NC,28208,Jacksonville,FL,32218,2026-08-15,2026-08-16,Van,Auto parts,26881,666,4378,3788,535.54,PO-5900054,BOL227767,,Y,,,,2026-06-24 00:00:00
55,MF-10055,Delivered,55,81,Salt Lake City,UT,84104,Boise,ID,83702,2026-08-17,2026-08-18,Flatbed,Lumber,27088,1059,3510,3020,533.01,PO-4000055,BOL744674,PRO7988844,N,,,,2026-06-25 00:00:00
